State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,Rural_Households,Census_2001_IHHL
ANDHRA PRADESH,1,ADILABAD,7845.08,5210.61,1918.19,716.28,3334.5,1026.28,632.57,4993.35,2800.83,1026.28,619.96,4447.07,247475,148181,395656,0,4462,427,10,0,177971,52431,230402,0,5030,427,0,0,5592.07,2798.2,50.04,989,1254.1,100,30,13.5,45,0,0,0,27070,11825,139076,0,21.85,0,0,0,0,0,0,473949,44311
ANDHRA PRADESH,2,ANANTAPUR,6308.72,4059.29,1394.66,854.77,2213.51,1456.5,1331.82,5001.83,1242.57,1456.41,1325.3,4024.28,363314,181335,544649,0,3421,284,10,0,366557,42000,408557,0,4258,302,0,0,3838.47,3016.22,78.58,884.2,745.05,84.26,14.2,11.19,78.8,0,10.41,0,54984,18328,293245,0,20,0,0,0,0,0,0,698439,70929
ANDHRA PRADESH,3,CHITTOOR,7680.84,5036.09,1875.03,769.72,3909.82,1329.78,532.18,5771.78,2315.79,1154.35,532.18,4002.32,296465,236986,533451,0,8171,375,10,0,273987,196146,470133,0,8171,375,11,0,4829.6,2398.58,49.66,1800.86,1333.29,74.04,18.76,18.76,100,0,0,0,42834,8407,222746,0,18.7,0,0,0,0,0,0,727635,94962
ANDHRA PRADESH,4,CUDDAPAH,6440.21,3924.41,1662.14,853.66,2763.6,1332.28,1357.02,5452.9,1721.92,1332,796.67,3850.59,251653,251610,503263,0,6802,277,10,0,242215,125493,367708,0,5851,277,0,0,3835.4,2794.05,72.85,1659.96,672.04,40.49,14.76,3.6,24.39,0,0,0,36332,7267,198616,0,18,0,0,0,0,0,0,475919,77225
ANDHRA PRADESH,5,EAST GODAVARI,9690.38,6324.81,2329.86,1035.71,5302.66,1886.72,1081.32,8270.7,4561.13,1886.62,1063.13,7510.88,370255,191400,561655,50,7004,1164,10,0,354052,191400,545452,49,7004,781,20,0,6674.52,5225.19,78.29,1475.66,1481.44,100,81.16,21.48,26.47,100,88.2,88.2,88898,34192,218826,0,34.77,44022,19140,0,0,0,0,1063044,231280
ANDHRA PRADESH,6,GUNTUR,12563.94,6298.09,3611.81,2654.04,3986.24,1783.72,698.21,6468.17,2796.71,1783.72,698.21,5278.65,370996,319053,690049,0,5346,215,10,0,271407,85950,357357,0,5116,215,37,0,9644.83,3885.1,40.28,1332.16,983.83,73.85,13.19,9.93,75.28,0,0,0,36638,12674,221777,0,18.17,0,0,0,0,0,0,877109,199735
ANDHRA PRADESH,7,KARIMNAGAR,10849.48,7165.48,2612.85,1071.15,5602.87,2330.93,176.13,8109.93,6113.15,2326.95,176.13,8616.22,365267,219763,585030,0,5848,298,10,0,397112,63125,460237,0,6200,475,13,0,7893.18,7270.59,92.11,1169.6,755.02,64.55,14.9,8.04,53.96,0,0,0,70019,16685,310408,7992,21.83,0,0,0,0,0,0,746956,107825
ANDHRA PRADESH,8,KHAMMAM,5033.95,3296.76,1226.56,510.63,2779.69,732.81,510.65,4023.15,3210.09,732.08,294.02,4236.19,189225,4860,194085,0,6318,521,10,0,200897,4870,205767,0,6318,521,15,10,2990.37,2347.81,78.51,1263.6,1257.6,99.53,31.94,44.28,100,0,0,0,63593,32066,102728,0,47.62,0,0,0,0,0,0,578490,87256
ANDHRA PRADESH,9,KRISHNA,9115.68,5977.79,2174.82,963.07,3883.94,777.11,283.63,4944.68,2613.08,769.49,277.92,3660.5,351572,175991,527563,17,3374,62,10,0,321219,104197,425416,8,3374,171,40,0,6879.66,2573.32,37.4,821.2,429.94,52.36,3.1,0.87,28.06,34,20,58.82,69729,15611,232085,0,26.57,2000,600,0,0,0,0,754361,233301
ANDHRA PRADESH,10,KURNOOL,10196.49,6720.35,2491.52,984.62,4237.66,1719.21,573.54,6530.42,2353.26,1718.37,463.12,4534.75,383478,129956,513434,0,4669,2111,10,0,325339,174773,500112,13,4669,283,49,0,7470.95,2873.88,38.47,1131.5,966.9,85.45,162.8,9.67,5.94,0,0,0,43906,2105,151321,0,14.14,0,0,0,0,0,0,630786,86436
